Date,Symbol,Industry,Price
2023-05-02,MAHLIFE,Realty,368.21
2023-05-02,MAHLOG,Services,374.43
2023-05-02,MANAPPURAM,Financial Services,128.61
2023-05-02,MANYAVAR,Consumer Services,1272.3650000000002
2023-05-02,MAPMYINDIA,Information Technology,1029.0449999999998
2023-05-02,MARICO,Fast Moving Consumer Goods,484.90500000000003
2023-05-02,MARUTI,Automobile and Auto Components,8603.7
2023-05-02,MASTEK,Information Technology,1708.52
2023-05-02,MAXHEALTH,Healthcare,456.98
2023-05-02,MAZDOCK,Capital Goods,739.6949999999999
2023-05-02,MCDOWELL-N,Fast Moving Consumer Goods,768.78
2023-05-02,MCX,Financial Services,1433.43
2023-05-02,MEDPLUS,Consumer Services,735.735
2023-05-02,METROBRAND,Consumer Durables,846.45
2023-05-02,METROPOLIS,Healthcare,1247.0
2023-05-02,MFL,Chemicals,1006.4750000000001
2023-05-02,MFSL,Financial Services,631.65
2023-05-02,MGL,Oil Gas & Consumable Fuels,1010.24
2023-05-02,MHRIL,Consumer Services,298.59499999999997
2023-05-02,MMTC,Services,29.859999999999996
2023-05-02,MOTILALOFS,Financial Services,610.64
2023-05-02,MPHASIS,Information Technology,1782.545
2023-05-02,MRF,Automobile and Auto Components,87142.70499999999
2023-05-02,MRPL,Oil Gas & Consumable Fuels,56.364999999999995
2023-05-02,MSUMI,Automobile and Auto Components,51.40500000000001
2023-05-02,MTARTECH,Capital Goods,1767.2599999999998
2023-05-02,MUTHOOTFIN,Financial Services,1027.9299999999998
2023-05-02,NAM-INDIA,Financial Services,236.15500000000003
2023-05-02,NATCOPHARM,Healthcare,568.075
2023-05-02,NATIONALUM,Metals & Mining,82.675
2023-05-02,NAUKRI,Consumer Services,3683.84
2023-05-02,NAVINFLUOR,Chemicals,4718.0599999999995
2023-05-02,NAZARA,Media Entertainment & Publication,544.6850000000001
2023-05-02,NBCC,Construction,38.714999999999996
2023-05-02,NCC,Construction,115.65
2023-05-02,NESTLEIND,Fast Moving Consumer Goods,20928.519999999997
2023-05-02,NETWORK18,Media Entertainment & Publication,55.894999999999996
2023-05-02,NH,Healthcare,760.945
2023-05-02,NHPC,Power,43.315
2023-05-02,NIACL,Financial Services,104.775
2023-05-02,NLCINDIA,Power,80.11
2023-05-02,NMDC,Metals & Mining,110.16999999999999
2023-05-02,NOCIL,Chemicals,214.08499999999998
2023-05-02,NTPC,Power,170.70499999999998
2023-05-02,NUVOCO,Construction Materials,331.605
2023-05-02,NYKAA,Consumer Services,121.04499999999999
2023-05-02,OBEROIRLTY,Realty,905.4200000000001
2023-05-02,OFSS,Information Technology,3419.375
2023-05-02,OIL,Oil Gas & Consumable Fuels,257.11
2023-05-02,OLECTRA,Automobile and Auto Components,668.345
2023-05-02,ONGC,Oil Gas & Consumable Fuels,160.425
2023-05-02,ORIENTELEC,Consumer Durables,224.33499999999998
2023-05-02,PAGEIND,Textiles,39931.52
2023-05-02,PAYTM,Financial Services,651.885
2023-05-02,PCBL,Chemicals,121.85999999999999
2023-05-02,PEL,Financial Services,722.0600000000001
2023-05-02,PERSISTENT,Information Technology,4472.245
2023-05-02,PETRONET,Oil Gas & Consumable Fuels,235.305
2023-05-02,PFC,Financial Services,163.67000000000002
2023-05-02,PFIZER,Healthcare,3768.125
2023-05-02,PGHH,Fast Moving Consumer Goods,13977.685000000001
2023-05-02,PHOENIXLTD,Realty,1387.285
2023-05-02,PIDILITIND,Chemicals,2416.18
2023-05-02,PIIND,Chemicals,3179.285
2023-05-02,PNB,Financial Services,49.92
2023-05-02,PNBHOUSING,Financial Services,434.6
2023-05-02,PNCINFRA,Construction,282.0
2023-05-02,POLICYBZR,Financial Services,588.5600000000001
2023-05-02,POLYCAB,Capital Goods,3159.1699999999996
2023-05-02,POLYMED,Healthcare,964.915
2023-05-02,POLYPLEX,Capital Goods,1279.935
2023-05-02,POONAWALLA,Financial Services,314.71999999999997
2023-05-02,POWERGRID,Power,233.91500000000002
2023-05-02,POWERINDIA,Capital Goods,3234.995
2023-05-02,PRAJIND,Capital Goods,350.82
2023-05-02,PRESTIGE,Realty,468.975
2023-05-02,PRINCEPIPE,Capital Goods,594.095
2023-05-02,PRSMJOHNSN,Construction Materials,123.03000000000002
2023-05-02,QUESS,Services,367.64500000000004
2023-05-02,RADICO,Fast Moving Consumer Goods,1120.1799999999998
2023-05-02,RAIN,Chemicals,158.54000000000002
2023-05-02,RAJESHEXPO,Consumer Durables,556.3
2023-05-02,RALLIS,Chemicals,196.905
2023-05-02,RAMCOCEM,Construction Materials,735.42
2023-05-02,RATNAMANI,Capital Goods,2152.68
2023-05-02,RAYMOND,Textiles,1550.9
2023-05-02,RBA,Consumer Services,97.1
2023-05-02,RBLBANK,Financial Services,153.48999999999998
2023-05-02,RCF,Chemicals,106.035
2023-05-02,RECLTD,Financial Services,125.87
2023-05-02,REDINGTON,Services,168.85500000000002
2023-05-02,RELAXO,Consumer Durables,830.04
2023-05-02,RELIANCE,Oil Gas & Consumable Fuels,2372.2149999999997
2023-05-02,RENUKA,Fast Moving Consumer Goods,47.0
2023-05-02,RHIM,Capital Goods,643.78
2023-05-02,RITES,Construction,369.08500000000004
2023-05-02,ROSSARI,Chemicals,686.2349999999999
2023-05-02,ROUTE,Telecommunication,1260.55
2023-05-02,RTNINDIA,Services,39.57
2023-05-02,RVNL,Construction,93.02000000000001
2023-05-02,SAIL,Metals & Mining,82.4
2023-05-02,SANOFI,Healthcare,5873.25
2023-05-02,SAPPHIRE,Consumer Services,1191.535
2023-05-02,SBICARD,Financial Services,770.53
2023-05-02,SBILIFE,Financial Services,1126.225
2023-05-02,SBIN,Financial Services,557.52
2023-05-02,SCHAEFFLER,Automobile and Auto Components,2782.48
2023-05-02,SHARDACROP,Chemicals,455.41
2023-05-02,SHOPERSTOP,Consumer Services,626.095
2023-05-02,SHREECEM,Construction Materials,24234.719999999998
2023-05-02,SHYAMMETL,Metals & Mining,299.255
2023-05-02,SIEMENS,Capital Goods,3353.5
2023-05-02,SJVN,Power,34.285000000000004
2023-05-02,SKFINDIA,Capital Goods,4148.12
2023-05-02,SOBHA,Realty,461.105
2023-05-02,SOLARINDS,Chemicals,3813.55
2023-05-02,SONACOMS,Automobile and Auto Components,469.7099999999999
2023-05-02,SONATSOFTW,Information Technology,828.1049999999999
2023-05-02,SPARC,Healthcare,195.47
2023-05-02,SRF,Chemicals,2497.8650000000002
2023-05-02,STARHEALTH,Financial Services,595.585
2023-05-02,STLTECH,Telecommunication,158.62
2023-05-02,SUMICHEM,Chemicals,415.03999999999996
2023-05-02,SUNDARMFIN,Financial Services,2328.225
2023-05-02,SUNDRMFAST,Automobile and Auto Components,1029.125
2023-05-02,SUNPHARMA,Healthcare,983.9800000000001
2023-05-02,SUNTECK,Realty,299.69
2023-05-02,SUNTV,Media Entertainment & Publication,423.48
2023-05-02,SUPRAJIT,Automobile and Auto Components,356.385
2023-05-02,SUPREMEIND,Capital Goods,2675.92
2023-05-02,SUVENPHAR,Healthcare,470.965
2023-05-02,SUZLON,Capital Goods,8.084999999999999
2023-05-02,SWANENERGY,Realty,216.07
2023-05-02,SWSOLAR,Construction,299.835
2023-05-02,SYNGENE,Healthcare,635.92
2023-05-02,TANLA,Information Technology,654.0
2023-05-02,TATACHEM,Chemicals,944.5550000000001
2023-05-02,TATACOMM,Telecommunication,1238.965
2023-05-02,TATACONSUM,Fast Moving Consumer Goods,732.2850000000001
2023-05-02,TATAELXSI,Information Technology,6388.719999999999
2023-05-02,TATAINVEST,Financial Services,2127.04
2023-05-02,TATAMOTORS,Automobile and Auto Components,476.4150000000001
2023-05-02,TATAMTRDVR,Automobile and Auto Components,244.945
2023-05-02,TATAPOWER,Power,197.58499999999998
2023-05-02,TATASTEEL,Metals & Mining,107.61500000000001
2023-05-02,TCI,Services,614.76
2023-05-02,TCIEXP,Services,1469.35
2023-05-02,TCNSBRANDS,Textiles,470.505
2023-05-02,TCS,Information Technology,3166.1549999999997
2023-05-02,TEAMLEASE,Services,2150.0950000000003
2023-05-02,TECHM,Information Technology,1013.9349999999998
2023-05-02,TEJASNET,Telecommunication,636.3050000000001
2023-05-02,THERMAX,Capital Goods,2271.06
2023-05-02,TIINDIA,Automobile and Auto Components,2593.065
2023-05-02,TIMKEN,Capital Goods,2965.89
2023-05-02,TITAN,Consumer Durables,2616.745
2023-05-02,TORNTPHARM,Healthcare,1621.42
2023-05-02,TORNTPOWER,Power,540.615
2023-05-02,TRENT,Consumer Services,1379.29
2023-05-02,TRIDENT,Textiles,31.045000000000005
2023-05-02,TRITURBINE,Capital Goods,348.575
2023-05-02,TRIVENI,Fast Moving Consumer Goods,285.73
2023-05-02,TTKPRESTIG,Consumer Durables,723.505
2023-05-02,TV18BRDCST,Media Entertainment & Publication,29.47
2023-05-02,TVSMOTOR,Automobile and Auto Components,1130.3600000000001
2023-05-02,UBL,Fast Moving Consumer Goods,1441.8200000000002
2023-05-02,UCOBANK,Financial Services,28.055
2023-05-02,UFLEX,Capital Goods,401.11499999999995
2023-05-02,ULTRACEMCO,Construction Materials,7479.585000000001
2023-05-02,UNIONBANK,Financial Services,73.85499999999999
2023-05-02,UPL,Chemicals,732.12
2023-05-02,UTIAMC,Financial Services,667.895
2023-05-02,VAIBHAVGBL,Consumer Durables,313.38
2023-05-02,VARROC,Automobile and Auto Components,277.93
2023-05-02,VBL,Fast Moving Consumer Goods,1429.295
2023-05-02,VEDL,Metals & Mining,278.42
2023-05-02,VGUARD,Consumer Durables,256.65
2023-05-02,VIJAYA,Healthcare,372.855
2023-05-02,VINATIORGA,Chemicals,1984.85
2023-05-02,VIPIND,Consumer Durables,593.8050000000001
2023-05-02,VMART,Consumer Services,2173.745
2023-05-02,VOLTAS,Consumer Durables,836.5799999999999
2023-05-02,VTL,Textiles,314.89500000000004
2023-05-02,WELCORP,Capital Goods,220.42
2023-05-02,WELSPUNIND,Textiles,85.965
2023-05-02,WESTLIFE,Consumer Services,726.95
2023-05-02,WHIRLPOOL,Consumer Durables,1322.425
2023-05-02,WIPRO,Information Technology,373.55
2023-05-02,YESBANK,Financial Services,15.99
2023-05-02,ZEEL,Media Entertainment & Publication,194.325
2023-05-02,ZENSARTECH,Information Technology,271.69
2023-05-02,ZFCVINDIA,Automobile and Auto Components,10246.035
2023-05-02,ZOMATO,Consumer Services,57.86999999999999
2023-05-02,ZYDUSLIFE,Healthcare,516.925
2023-05-02,ZYDUSWELL,Fast Moving Consumer Goods,1526.6
